Corrida 1        | 5.7202 ms
Corrida 2        | 43.5791 ms
Corrida 3        | 14.3988 ms
Corrida 4        | 39.3423 ms
Corrida 5        | 38.3008 ms
Corrida 6        | 27.3346 ms
Corrida 7        | 45.3032 ms
Corrida 8        | 73.8857 ms
Corrida 9        | 13.5388 ms
Corrida 10       | 15.4998 ms
Corrida 11       | 54.5699 ms
Corrida 12       | 34.6256 ms
Corrida 13       | 85.6804 ms
Corrida 14       | 14.9677 ms
Corrida 15       | 29.7261 ms
Corrida 16       | 107.9827 ms
Corrida 17       | 14.9582 ms
Corrida 18       | 16.7128 ms
Corrida 19       | 14.8176 ms
Corrida 20       | 49.7183 ms
Corrida 21       | 63.8669 ms
Corrida 22       | 14.7521 ms
Corrida 23       | 45.8497 ms
Corrida 24       | 19.5143 ms
Corrida 25       | 52.3756 ms
Corrida 26       | 30.7440 ms
Corrida 27       | 86.6596 ms
Corrida 28       | 15.9222 ms
Corrida 29       | 14.2987 ms
Corrida 30       | 125.7718 ms
Corrida 31       | 14.0459 ms
Corrida 32       | 15.8646 ms
Corrida 33       | 16.4864 ms
Corrida 34       | 30.8171 ms
Corrida 35       | 41.3071 ms
Corrida 36       | 75.6697 ms
Corrida 37       | 13.8901 ms
Corrida 38       | 35.7713 ms
Corrida 39       | 25.9484 ms
Corrida 40       | 54.1156 ms
Corrida 41       | 30.6233 ms
Corrida 42       | 75.7132 ms
Corrida 43       | 14.0476 ms
Corrida 44       | 15.1200 ms
Corrida 45       | 54.3348 ms
Corrida 46       | 49.2158 ms
Corrida 47       | 66.1585 ms
Corrida 48       | 212.6596 ms
Corrida 49       | 14.6330 ms
Corrida 50       | 14.7283 ms
Corrida 51       | 16.7282 ms
Corrida 52       | 75.6208 ms
Corrida 53       | 41.2910 ms
Corrida 54       | 21.1096 ms
Corrida 55       | 59.6423 ms
Corrida 56       | 71.6794 ms
Corrida 57       | 15.6036 ms
Corrida 58       | 71.7239 ms
Corrida 59       | 26.2940 ms
Corrida 60       | 54.1062 ms
Corrida 61       | 87.3375 ms
Corrida 62       | 16.1708 ms
Corrida 63       | 15.9444 ms
Corrida 64       | 64.7029 ms
Corrida 65       | 51.9647 ms
Corrida 66       | 16.7952 ms
Corrida 67       | 15.9018 ms
Corrida 68       | 63.2193 ms
Corrida 69       | 549.6063 ms
Corrida 70       | 15.3784 ms
Corrida 71       | 14.7109 ms
Corrida 72       | 14.6444 ms
Corrida 73       | 14.7253 ms
Corrida 74       | 18.7278 ms
Corrida 75       | 15.0770 ms
Corrida 76       | 15.0820 ms
Corrida 77       | 15.4340 ms
Corrida 78       | 15.1864 ms
Corrida 79       | 16.1652 ms
Corrida 80       | 18.2655 ms
Corrida 81       | 15.9394 ms
Corrida 82       | 19.9345 ms
Corrida 83       | 30.0155 ms
Corrida 84       | 49.7646 ms
Corrida 85       | 53.4361 ms
Corrida 86       | 27.2926 ms
Corrida 87       | 252.4602 ms
Corrida 88       | 12.7111 ms
Corrida 89       | 6.8823 ms
Corrida 90       | 153.6140 ms
Corrida 91       | 120.9218 ms
Corrida 92       | 42.0408 ms
Corrida 93       | 113.5230 ms
Corrida 94       | 117.9658 ms
Corrida 95       | 10.1477 ms
Corrida 96       | 36.2029 ms
Corrida 97       | 122.5184 ms
Corrida 98       | 10.5958 ms
Corrida 99       | 26.0098 ms
Corrida 100      | 100.7654 ms
