orrida 1        | 3.7976 ms
Corrida 2        | 25.4856 ms
Corrida 3        | 30.9394 ms
Corrida 4        | 29.5558 ms
Corrida 5        | 31.6261 ms
Corrida 6        | 29.5632 ms
Corrida 7        | 30.8739 ms
Corrida 8        | 121.4354 ms
Corrida 9        | 735.1556 ms
Corrida 10       | 106.5616 ms
Corrida 11       | 120.5084 ms
Corrida 12       | 12.4718 ms
Corrida 13       | 21.4327 ms
Corrida 14       | 46.2263 ms
Corrida 15       | 28.4408 ms
Corrida 16       | 32.0896 ms
Corrida 17       | 29.1630 ms
Corrida 18       | 32.0035 ms
Corrida 19       | 28.7200 ms
Corrida 20       | 32.1367 ms
Corrida 21       | 28.5820 ms
Corrida 22       | 31.9141 ms
Corrida 23       | 28.5742 ms
Corrida 24       | 32.1357 ms
Corrida 25       | 29.6098 ms
Corrida 26       | 30.8453 ms
Corrida 27       | 29.7175 ms
Corrida 28       | 30.9661 ms
Corrida 29       | 30.0605 ms
Corrida 30       | 31.0700 ms
Corrida 31       | 29.5784 ms
Corrida 32       | 31.1567 ms
Corrida 33       | 29.5407 ms
Corrida 34       | 32.1817 ms
Corrida 35       | 28.5726 ms
Corrida 36       | 31.7316 ms
Corrida 37       | 28.6595 ms
Corrida 38       | 32.0289 ms
Corrida 39       | 28.6571 ms
Corrida 40       | 37.1530 ms
Corrida 41       | 28.2588 ms
Corrida 42       | 31.8816 ms
Corrida 43       | 28.5455 ms
Corrida 44       | 31.8564 ms
Corrida 45       | 28.4150 ms
Corrida 46       | 31.9228 ms
Corrida 47       | 28.4179 ms
Corrida 48       | 31.8420 ms
Corrida 49       | 28.5164 ms
Corrida 50       | 31.7429 ms
Corrida 51       | 29.3647 ms
Corrida 52       | 31.5502 ms
Corrida 53       | 29.3008 ms
Corrida 54       | 30.9703 ms
Corrida 55       | 29.3878 ms
Corrida 56       | 31.0213 ms
Corrida 57       | 29.3615 ms
Corrida 58       | 30.8285 ms
Corrida 59       | 29.4001 ms
Corrida 60       | 30.8794 ms
Corrida 61       | 29.5066 ms
Corrida 62       | 30.8339 ms
Corrida 63       | 29.1972 ms
Corrida 64       | 32.4810 ms
Corrida 65       | 28.5450 ms
Corrida 66       | 31.8009 ms
Corrida 67       | 28.5575 ms
Corrida 68       | 31.7807 ms
Corrida 69       | 28.4262 ms
Corrida 70       | 31.7119 ms
Corrida 71       | 28.4587 ms
Corrida 72       | 32.0099 ms
Corrida 73       | 28.2426 ms
Corrida 74       | 31.8957 ms
Corrida 75       | 16.1713 ms
Corrida 76       | 88.7129 ms
Corrida 77       | 199.5383 ms
Corrida 78       | 12.8529 ms
Corrida 79       | 15.0932 ms
Corrida 80       | 13.0526 ms
Corrida 81       | 52.4266 ms
Corrida 82       | 43.1276 ms
Corrida 83       | 72.8388 ms
Corrida 84       | 14.1932 ms
Corrida 85       | 25.5029 ms
Corrida 86       | 25.1907 ms
Corrida 87       | 52.9055 ms
Corrida 88       | 82.0657 ms
Corrida 89       | 17.9434 ms
Corrida 90       | 49.2319 ms
Corrida 91       | 14.0273 ms
Corrida 92       | 83.0199 ms
Corrida 93       | 13.9929 ms
Corrida 94       | 36.2454 ms
Corrida 95       | 13.2899 ms
Corrida 96       | 67.2713 ms
Corrida 97       | 14.1570 ms
Corrida 98       | 82.2267 ms
Corrida 99       | 14.1708 ms
Corrida 100      | 29.6055 ms
